model,accuracy,precision,recall,f1_score,roc_auc,pr_auc
logistic_regression,0.9991573329588148,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9572835078037968,0.7439486441557351
decision_tree,0.9991397773954568,0.7525773195876289,0.7448979591836735,0.7487179487179487,0.8722379497662881,0.5610321985726947
k_nearest_neighbors,0.9995435553526912,0.9186046511627908,0.8061224489795918,0.8586956521739131,0.943755706418752,0.8433623158667213
random_forest,0.9994557775359012,0.845360824742268,0.8367346938775511,0.841025641025641,0.9731024901519414,0.8747390631242284
bagging_classifier,0.9989993328885924,0.6782608695652174,0.7959183673469388,0.7323943661971831,0.9392232307948504,0.7618752873592873
adaboost,0.9639935395526844,0.0417644298451431,0.9081632653061223,0.0798564378645132,0.9733577536951752,0.7976402267090059
gradient_boosting,0.9867279941013308,0.105515587529976,0.8979591836734694,0.1888412017167382,0.9807433489715528,0.6884651109340967
xgboost,0.9990695551420246,0.6829268292682927,0.8571428571428571,0.7601809954751131,0.974522814190392,0.8661853851366628
